2.8768,3.0436,2.9792,0.41667,1.3929,3.1699,2.5807,0.29266,3.6141,2.5572,2.5746,2.3981,1.8497
2.8095,2.9914,3.0741,0.43129,1.3625,3.0759,2.5684,0.41067,3.5091,2.6937,2.5576,2.2185,1.8353
2.7022,3.0052,3.1283,0.45192,1.4193,3.0414,2.514,0.48807,3.4808,2.8536,2.5835,1.9958,1.8153
2.6041,3.0764,3.1967,0.47405,1.3948,3.0262,2.4145,0.43965,3.5658,2.9802,2.5754,1.8462,1.8759
2.9227,3.1309,3.1235,0.30271,1.1233,3.0274,2.4147,0.25433,3.6673,2.7258,2.2581,1.7987,2.048
3.1282,3.1286,3.0812,0.21204,0.9548,3.0472,2.3959,0.20211,3.6827,2.7688,2.1228,1.7076,2.1031
2.9087,3.1089,3.0866,0.28202,1.2222,3.1111,2.3611,0.26826,3.6051,2.8214,2.3971,1.7984,1.959
2.5633,3.1828,3.2031,0.3637,1.3295,3.1599,2.368,0.2807,3.5531,2.896,2.5,1.776,1.7904
2.6536,3.1249,3.2996,0.28092,1.1521,3.1587,2.4753,0.25525,3.5123,2.8316,2.4223,1.8765,1.7047
2.6884,3.0595,3.0374,0.22697,1.1407,3.1305,2.4233,0.24514,3.5161,2.7132,2.3779,1.8303,1.8032
2.8379,3.0471,2.5978,0.15911,1.1748,3.1795,2.3954,0.1884,3.7272,2.5341,2.1335,1.605,2.1202
2.8715,3.1093,2.4924,0.13633,1.2394,3.2436,2.2835,0.13747,3.8524,2.6378,2.1064,1.4028,2.3411
2.9527,3.0546,2.3477,0.13875,1.1516,3.2326,2.3058,0.16567,3.8455,2.3782,2.0097,1.3981,2.299
3.0755,2.6451,2.1297,0.10862,1.0271,2.9454,2.0927,0.32209,3.7143,1.7795,1.7745,1.0214,2.2374
2.875,2.3851,2.3066,0.11986,1.1858,2.7218,2.0774,0.45067,3.4827,1.3938,1.9259,1.1667,2.0225
2.6071,2.3971,1.9222,0.17948,1.3312,2.4407,2.1029,0.47221,3.4986,0.9938,1.8592,1.3831,2.1184
2.5225,2.4202,1.7108,0.21874,1.3361,2.3038,2.3044,0.41967,3.5901,0.73694,1.6808,1.4848,2.1564
2.8044,2.4045,2.1765,0.15532,1.0833,2.4654,2.4387,0.36751,3.6206,1.0234,1.6316,1.3926,1.9696
2.854,2.3593,2.2415,0.15763,1.2002,2.5081,2.5553,0.50684,3.7952,1.1077,2.0799,1.6923,1.6062
3.0591,2.271,1.9973,0.12173,1.0344,2.6817,2.7525,0.36149,4.0011,1.2594,2.2568,1.7856,1.5878
3.009,2.3168,1.4041,0.18361,1.3731,2.8911,3.0267,0.23662,4.1377,0.87165,2.2283,2.3349,1.9611
2.8328,2.3793,0.9314,0.2725,1.7234,2.9984,3.0293,0.16497,4.0427,0.73545,2.0803,2.1498,2.4325
3.0836,2.5967,1.6967,0.22921,1.8657,3.1046,3.0424,0.12919,3.8368,0.47553,2.4444,2.4828,1.7831
3.1042,2.7303,2.0162,0.20629,2.1975,3.1219,3.2353,0.16784,3.9124,0.37047,2.8493,2.8355,1.2346
2.5865,3.0708,2.4279,0.21171,2.4662,3.044,3.3297,0.15422,3.8737,0.31627,3.1215,3.0082,0.64796
2.6276,3.3003,1.8652,0.38634,2.2229,3.1562,3.0773,0.10454,3.4954,0.30874,2.822,2.8804,1.1099
2.8092,3.169,2.3439,0.27225,1.9118,3.2445,3.0925,0.15227,3.4845,0.49338,3.0193,2.9201,0.87073
3.5053,3.0359,3.0127,0.19437,1.4114,3.0032,3.2067,0.28407,3.7081,0.8878,2.9836,2.9298,0.36653
2.9279,3.2505,2.6905,0.2855,1.0619,2.7831,3.0154,0.4238,3.809,0.92011,3.3224,3.0274,0.16395
2.4053,3.395,2.496,0.33294,1.3848,3.1051,2.8691,0.26192,3.9974,0.86219,3.1611,2.8807,0.30923
2.5554,3.301,2.8437,0.15561,1.4555,3.2618,2.897,0.16458,4.1524,0.86977,3.1047,2.3231,0.54113
2.9736,3.3011,3.0653,0.087747,1.5836,3.2732,2.9602,0.12917,4.2909,0.58144,2.9244,2.329,0.44427
3.526,3.3216,3.1233,0.03881,1.2432,3.2576,2.6705,0.10385,4.5717,0.67853,3.1089,2.2148,0.47715
4.2607,2.9838,3.6803,0.031252,0.98494,2.9985,3.1119,0.1351,4.4095,0.56628,3.247,2.1939,0.22126
4.1261,3.0541,3.3651,0.041705,0.45045,3.0509,2.396,0.076749,4.363,1.3314,2.4693,1.4506,0.54275
3.4114,3.3957,2.0218,0.12819,0.64773,3.1371,2.1567,0.1255,4.5237,1.1127,2.4631,2.2144,0.80313
3.7254,3.2293,2.5059,0.10852,1.3583,3.2294,3.2516,0.17231,4.3796,0.19948,3.2337,2.8828,0.43093
4.0091,3.057,2.8848,0.066004,1.2035,3.2512,3.3437,0.2471,4.2883,0.13287,3.0372,2.6298,0.28426
3.751,3.0684,3.0073,0.080859,1.3508,3.1746,3.4131,0.24812,4.0642,0.2167,3.0875,2.6768,0.26727
3.4534,2.9028,2.8823,0.06972,1.8874,3.374,3.3865,0.1566,4.107,0.26141,3.2396,2.8835,0.27837
3.4947,2.8025,2.9859,0.1148,2.2913,3.7806,3.3419,0.14282,4.1472,0.5571,3.3512,3.3795,0.38021
3.4417,3.0989,3.1249,0.17738,1.7938,3.4418,3.2425,0.12144,3.9092,0.45003,3.3675,3.4505,0.31935
3.0477,3.328,2.8486,0.16315,1.648,3.4193,3.3429,0.12968,4.0386,0.34839,3.5899,3.3579,0.22584
3.4534,3.202,2.6547,0.13917,1.1598,3.3381,3.1667,0.17211,4.0412,0.64727,3.1297,2.6995,0.32355
3.3365,3.2358,2.8146,0.10605,0.88398,3.3801,3.0466,0.13362,3.9675,0.86469,2.8628,2.7131,0.32368
3.1986,3.4062,2.9721,0.12622,1.4061,3.4581,3.1295,0.089141,4.0219,0.69579,2.6556,2.9231,0.40638
